                small    large
39999031	853.29	1156.08
30002532	853.29	1156.08
30004701	814.55	1101.02
30002981	585.99	820.38
30003646	1289.18	1757.97
30003002	352.74	495.46
30003649	644.59	878.98
30007192	1926.79	2697.51
30002989	814.55	1101.02
30007858	352.74	495.46
30008142	1933.76	2578.35
30003000	814.55	1101.02
30002991	330.31	440.41
30008173	352.74	495.46
30006465	352.74	495.46
30003020	352.74	495.46
30003813	352.74	495.46
30005146	2036.90	2807.61
30007097	853.29	1156.08
30007008	726.88	963.40
30002990	330.31	440.41
30002962	814.55	1101.02
30003006	2642.46	3413.18
30005483	352.74	495.46
30005002	352.74	495.46
30006719	352.74	495.46
30001483	814.55	1101.02
30007348	838.79	1323.42
30004646	1376.28	1926.79
30005139	1062.28	1376.28
30006671	352.74	495.46
30003018	468.79	644.59
30007662	853.29	1156.08
30008728	1254.96	1624.01
30008083	2036.90	2807.61
30007169	1699.37	2343.95
30006774	838.79	1323.42
30008666	1254.96	1624.01
30008775	2642.46	3413.18
30008699	990.92	1376.28
30008347	1571.84	2115.75
30008774	2642.46	3413.18
30003818	3192.97	4569.25
30008624	352.74	495.46
30008654	878.98	1171.98
30007897	2036.90	2807.61
30008444	352.74	495.46
30008348	1761.64	2587.41
30002978	352.74	495.46
30002979	2168.16	3164.34
30002985	352.74	495.46
30002141	1254.96	1624.01
30000547	814.55	1101.02
30000414	352.74	495.46
30006535	352.74	495.46
30000077	814.55	1101.02
