39999031	6
30002532	1
30004701	1
30002981	2
30003646	2.5
30003002	4.5
30003649	4
30007192	2
30002989	4
30007858	3.5
30008142	2
30003000	4.5
30002991	1
30008173	1.5
30006465	1.5
30003020	1.5
30003813	2
30005146	2
30007097	1.5
30007008	3
30002990	1
30002962	1.5
30003006	2
30005483	5.5
30005002	1
30006719	1
30001483	1
30007348	1.5
30004646	2.5
30005139	1.5
30006671	2
30003018	1
30007662	2.5
30008728	2.5
30008083	2
30007169	4
30006774	2
30008666	2.5
30008775	7.5
30008699	1
30008347	15
30008774	6
30003818	1
30008624	7.5
30008654	3
30007897	4.5
30008444	13.5
30008348	2.5
30002978	3.5
30002979	3
30002985	4.5
30002141	1
30000547	1
30000414	1
30006535	2
30000077	3.5
